samplename,Average_library_size__TapeStation,Conc_ng_per_ul__KAPA,Conc_ng_per_ul__TapeStation,Covered.genes.per.sample,FRAC_CODING_BASES,FRAC_CORRECT_STRAND_READS,FRAC_INTERGENIC_BASES,FRAC_INTRONIC_BASES,FRAC_RIBOSOMAL_BASES,FRAC_UTR_BASES,Fastq_file_prefixes,Final_library_conc_nM__KAPA,Final_library_conc_nM__TapeStation,Input_concentration,Library_prep,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,MEDIAN_CV_COVERAGE,Mean.coverage.per.sample.after.filtering,Percentage.reads.mapped.to.ribosomal.mitochondrial.genes,Read.coverage.per.sample,STAR_perc_ambiguous,STAR_perc_mapped,STAR_perc_multimapping,STAR_perc_noFeature,STAR_perc_unmapped,Well_column,Well_row
100_ng_A10_IL,298,57.6,32.2,30830,0.603779,0.992307,0.02301,0.069794,0.006544,0.296872,100ng_A10_S25_L002_R1_001,312.6,167,100_ng,Illumina_truseq,0.601661,0.610954,0.889782,0.42309,2245.41672367921,0.772622247260674,29877602,4.28608520998696,78.0602734251592,5.00162455724414,6.49779527359916,6.15422153401052,6,E
100_ng_A6_IL,282,71.4,33.9,31021,0.605674,0.992826,0.021164,0.068223,0.006234,0.298705,100ng_A6_S21_L002_R1_001,409.6,185,100_ng,Illumina_truseq,0.568723,0.615538,0.923932,0.422683,2328.9682250095,0.733526310475814,30992617,4.32957130153875,78.7842739531315,4.65856637489967,6.51565665189313,5.71193171853699,6,A
100_ng_A7_IL,280,66.9,30.9,31372,0.604043,0.99277,0.021621,0.069069,0.006531,0.298737,100ng_A7_S22_L002_R1_001,386.7,170,100_ng,Illumina_truseq,0.586804,0.601467,0.905705,0.425407,2582.28285822881,0.768730298061206,34361466,4.31449357054815,78.9532450375315,4.79709881721321,6.60071288337908,5.33444969132804,6,B
100_ng_A8_IL,280,48.7,24.3,31380,0.607692,0.992708,0.02176,0.068792,0.006745,0.295011,100ng_A8_S23_L002_R1_001,281.7,134,100_ng,Illumina_truseq,0.597501,0.604163,0.886415,0.428165,2591.62029646522,0.794716536982252,34491166,4.25130841772705,77.8026662200928,4.83687719001518,6.475918001514,6.63323017065096,6,C
100_ng_A9_IL,279,73,31.5,30604,0.606238,0.992412,0.022759,0.069172,0.006602,0.295229,100ng_A9_S24_L002_R1_001,423.3,174,100_ng,Illumina_truseq,0.582082,0.602141,0.913026,0.423757,2160.12740402889,0.778996828013952,28743506,4.24768595549441,76.7354956701925,4.86500031061538,6.31481459679228,7.83700346690542,6,D
100_ng_U003_SR,451,9,10.36,34172,0.519582,0.960653,0.046379,0.147693,0.007564,0.278782,100ng_U003_S6_L001_R1_001,32.28,34.8,100_ng,Swift_Rapid,0.508404,0.624416,1.197089,0.630789,2406.2417331813,0.993033539760732,32025303,3.66683518437469,64.133460016996,4.97121831694366,16.0414859957579,11.1870004859278,1,G
100_ng_U004_SR,441,11.27,12.8,33956,0.544856,0.964278,0.041793,0.119253,0.008414,0.285685,100ng_U004_S7_L001_R1_001,41.38,43.98,100_ng,Swift_Rapid,0.521925,0.613838,1.154766,0.631241,2613.82295705055,1.06165834810488,34762219,3.97811467891111,69.6021703117608,4.84452226557575,13.9261464418233,7.64904630192907,1,H
100_ng_U011_S,423,3.64,5.47,32368,0.48259,0.987868,0.044418,0.132142,0.007511,0.333339,100-ng-UHR_U011_S11_L001_R1_001,13.91,19.59,100_ng,Swift,0.596364,0.640776,0.985556,0.485471,1774.25686050931,0.974894290803369,23610765,3.96602930124799,72.3705649643085,5.18776776774445,14.1702811436029,4.30535682309623,1,B
100_ng_U012_S,434,6.28,7.95,30041,0.493831,0.987703,0.038337,0.129524,0.008169,0.330138,100-ng-UHR_U012_S12_L001_R1_001,23.4,27.75,100_ng,Swift,0.610762,0.659576,0.947078,0.479495,1211.35644241733,1.0481981389415,16115560,4.18780940122964,74.3553090429616,4.59324514603355,14.0699902065719,2.79364620320334,1,C
100_ng_U013_S,410,3.4,4.33,30189,0.51438,0.986642,0.040249,0.126879,0.007813,0.310679,100-ng-UHR_U013_S13_L001_R1_001,13.41,16,100_ng,Swift,0.56536,0.619512,0.967289,0.533973,1441.62850627138,1.00638292236096,19176796,4.29834997356377,74.6136241950703,4.47685729378794,14.0480619258037,2.56310661177434,1,D
