"Percent through gene"	"10-ng-UHR_U001_S1_L001"	"10-ng-UHR_U002_S2_L001"	"10-ng-UHR_U003_S3_L001"	"10-ng-UHR_U004_S4_L001"	"10-ng-UHR_U005_S5_L001"	"100-ng-UHR_U011_S11_L001"	"100-ng-UHR_U012_S12_L001"	"100-ng-UHR_U013_S13_L001"	"100-ng-UHR_U014_S14_L001"	"100-ng-UHR_U015_S15_L001"	"100ng_A10_S25_L002"	"100ng_A6_S21_L002"	"100ng_A7_S22_L002"	"100ng_A8_S23_L002"	"100ng_A9_S24_L002"	"100ng_U003_S6_L001"	"100ng_U004_S7_L001"	"100ng_U019_S8_L001"	"100ng_U020_S9_L001"	"100ng_U021_S10_L001"	"200ng_A11_S26_L002"	"200ng_A12_S27_L002"	"200ng_B1_S28_L002"	"200ng_B2_S29_L002"	"200ng_B3_S30_L002"	"200ng_U005_S11_L001"	"200ng_U006_S12_L001"	"200ng_U022_S13_L001"	"200ng_U023_S14_L001"	"200ng_U024_S15_L001"	"50-ng-UHR_U006_S6_L001"	"50-ng-UHR_U007_S7_L001"	"50-ng-UHR_U008_S8_L001"	"50-ng-UHR_U009_S9_L001"	"50-ng-UHR_U010_S10_L001"	"500ng_B4_S31_L002"	"500ng_B5_S32_L002"	"500ng_B6_S33_L002"	"500ng_B7_S34_L002"	"500ng_B8_S35_L002"	"50ng_A1_S16_L002"	"50ng_A2_S17_L002"	"50ng_A3_S18_L002"	"50ng_A4_S19_L002"	"50ng_A5_S20_L002"	"50ng_U001_S1_L001"	"50ng_U002_S2_L001"	"50ng_U016_S3_L001"	"50ng_U017_S4_L001"	"50ng_U018_S5_L001"
0	0.469477	0.467689	0.469069	0.424357	0.415657	0.444401	0.433821	0.424971	0.430686	0.432623	0.302387	0.304025	0.302287	0.292644	0.300261	0.482576	0.473613	0.475905	0.461434	0.452968	0.307558	0.317346	0.306518	0.310119	0.315273	0.455698	0.464944	0.467795	0.456895	0.460879	0.444003	0.420438	0.426127	0.430297	0.469574	0.303862	0.314711	0.316349	0.314738	0.301342	0.308697	0.296057	0.289574	0.295749	0.293403	0.480548	0.470796	0.472881	0.475724	0.447022
1	0.527009	0.528094	0.525888	0.482318	0.470283	0.501689	0.49274	0.481106	0.485519	0.489376	0.355569	0.3554	0.354578	0.345109	0.354016	0.54057	0.530834	0.530944	0.519698	0.510102	0.36396	0.371943	0.359165	0.362932	0.368205	0.5124	0.521481	0.522801	0.511458	0.514245	0.500774	0.47604	0.482652	0.488309	0.525948	0.355817	0.366345	0.368758	0.365987	0.351372	0.365219	0.3469	0.340303	0.345828	0.344553	0.535512	0.526894	0.528645	0.533912	0.499108
2	0.58912	0.596956	0.586267	0.546309	0.53151	0.56883	0.560895	0.548506	0.554374	0.561764	0.434833	0.43497	0.433624	0.42484	0.431457	0.602119	0.591752	0.590001	0.577938	0.567784	0.447181	0.454284	0.438556	0.442249	0.449119	0.570511	0.58097	0.580577	0.56798	0.565681	0.563268	0.543384	0.548478	0.558466	0.58721	0.436184	0.445967	0.448221	0.445973	0.428012	0.449644	0.426283	0.41742	0.424538	0.421772	0.593364	0.584379	0.587147	0.591854	0.551355
3	0.646593	0.653589	0.644514	0.600896	0.588705	0.625721	0.621134	0.606178	0.612125	0.620978	0.519206	0.520318	0.51744	0.509601	0.512992	0.658853	0.647844	0.646642	0.632679	0.619395	0.532721	0.540704	0.522503	0.52502	0.532353	0.627946	0.637502	0.636326	0.624067	0.621987	0.618488	0.600239	0.604903	0.614089	0.643039	0.520289	0.528307	0.53171	0.528379	0.510624	0.540554	0.509511	0.499766	0.508113	0.505494	0.648942	0.639168	0.643024	0.646887	0.596656
4	0.688989	0.694097	0.69034	0.643416	0.633005	0.670445	0.664446	0.647546	0.652866	0.66575	0.591415	0.58982	0.587604	0.580574	0.585269	0.695219	0.684202	0.684275	0.668861	0.655369	0.603956	0.612701	0.593595	0.596445	0.604432	0.665557	0.674103	0.672888	0.660219	0.658962	0.660544	0.640148	0.648127	0.655511	0.685024	0.592663	0.599442	0.60275	0.600737	0.581792	0.616566	0.577854	0.567189	0.576718	0.575736	0.684887	0.674454	0.679035	0.681771	0.631505
5	0.725738	0.731742	0.730258	0.685017	0.679073	0.708108	0.70519	0.686205	0.691885	0.705875	0.656396	0.652674	0.650387	0.646624	0.649064	0.73096	0.719052	0.720208	0.704224	0.691865	0.668471	0.676894	0.65759	0.66113	0.670014	0.700451	0.709425	0.708143	0.694986	0.693765	0.699415	0.677959	0.688049	0.693753	0.724704	0.655271	0.662175	0.66565	0.66464	0.645172	0.687408	0.638729	0.627074	0.637949	0.639806	0.718694	0.709777	0.713919	0.717486	0.665453
6	0.760604	0.768914	0.764245	0.726718	0.717576	0.746366	0.745128	0.725118	0.729527	0.741431	0.712316	0.706716	0.704997	0.704353	0.705111	0.772141	0.760351	0.761999	0.747938	0.734816	0.726694	0.733444	0.713213	0.717876	0.725612	0.741596	0.752327	0.749104	0.737813	0.735653	0.737633	0.717435	0.724075	0.729436	0.761002	0.707474	0.715833	0.7193	0.720091	0.69808	0.748073	0.694006	0.681409	0.695093	0.698427	0.760142	0.752433	0.755265	0.758991	0.701726
7	0.780057	0.791854	0.785755	0.755505	0.744552	0.775038	0.772112	0.753819	0.757762	0.774631	0.755492	0.750135	0.746297	0.746972	0.748403	0.801963	0.788457	0.789126	0.776596	0.759015	0.770818	0.775035	0.753028	0.758204	0.765984	0.772092	0.782142	0.7765	0.765783	0.760813	0.759779	0.741767	0.752293	0.757495	0.783109	0.747437	0.759134	0.761018	0.762878	0.738714	0.79429	0.736216	0.7236	0.738118	0.742442	0.791732	0.780472	0.785694	0.787255	0.73394
8	0.800942	0.820411	0.806146	0.781591	0.77311	0.801908	0.798246	0.780836	0.785573	0.806739	0.802107	0.796635	0.791563	0.793214	0.796033	0.829693	0.813983	0.81651	0.802429	0.785726	0.817283	0.819104	0.797512	0.803758	0.809217	0.799489	0.809353	0.806282	0.795902	0.788187	0.781149	0.763052	0.780384	0.778442	0.806649	0.787297	0.804023	0.805703	0.809254	0.782637	0.845057	0.783327	0.770372	0.785386	0.790505	0.817895	0.802815	0.811358	0.81341	0.758582
9	0.826794	0.844898	0.831032	0.808203	0.80314	0.82511	0.824983	0.811998	0.815277	0.836258	0.840931	0.835208	0.828617	0.833407	0.835	0.850269	0.833879	0.837081	0.821698	0.806327	0.855491	0.857031	0.836395	0.842085	0.847138	0.819875	0.831242	0.828096	0.816605	0.808853	0.806299	0.79051	0.803979	0.804747	0.828775	0.823664	0.841345	0.844686	0.847658	0.822242	0.887722	0.821658	0.808829	0.823674	0.829227	0.836497	0.821443	0.830166	0.831182	0.778055
