"Category"	"Coding"	"UTR"	"Intronic"	"Intergenic"	"Ribosomal"	"PF not aligned"
"10-ng-UHR_U001_S1_L001"	2327057094	1472156459	621883381	241980650	39309006	324162624
"10-ng-UHR_U002_S2_L001"	1088825963	699384620	339549310	133876810	17529871	115042062
"10-ng-UHR_U003_S3_L001"	2767992746	1789431700	824543009	310494894	48499080	321770621
"10-ng-UHR_U004_S4_L001"	3031826023	1978071630	942416915	388501524	49874225	274088997
"10-ng-UHR_U005_S5_L001"	3083041611	2204060176	1299174950	614066232	55448823	382059296
"100-ng-UHR_U011_S11_L001"	2850913867	1969211425	780631772	262402943	44373664	398948143
"100-ng-UHR_U012_S12_L001"	2018705530	1349553494	529474665	156715425	33394003	167939545
"100-ng-UHR_U013_S13_L001"	2519272041	1521606787	621411362	197128962	38265670	160942800
"100-ng-UHR_U014_S14_L001"	2244498900	1294024120	548519637	177208658	32207328	127030883
"100-ng-UHR_U015_S15_L001"	2148969808	1255670908	553654651	287771793	24673330	121476608
"100ng_A10_S25_L002"	4349556442	2138634247	502790121	165760972	47145254	51854590
"100ng_A6_S21_L002"	4500119245	2219361415	506894848	157246902	46315646	62563124
"100ng_A7_S22_L002"	4987965802	2466857092	570343372	178537158	53930055	64698447
"100ng_A8_S23_L002"	5038312685	2445908436	570345892	180407921	55922881	70080549
"100ng_A9_S24_L002"	4196324805	2043551394	478800104	157535986	45695998	51601161
"100ng_U003_S6_L001"	4456022098	2390878655	1266638805	397755857	64874234	382354813
"100ng_U004_S7_L001"	4862207162	2549405277	1064191882	372952902	75085985	393186410
"100ng_U019_S8_L001"	5084411632	2679062009	1153706632	368918244	79023136	414052655
"100ng_U020_S9_L001"	5157650879	2743015114	1189562722	467578090	82351734	437346135
"100ng_U021_S10_L001"	6998901119	3851313363	1699486757	735394820	111553714	601398363
"200ng_A11_S26_L002"	4420727579	2092442959	532411015	204810878	51526151	46657598
"200ng_A12_S27_L002"	4736676561	2259450408	523041625	156566135	50728378	50914633
"200ng_B1_S28_L002"	6039659004	2950368929	675361114	202356076	64687939	73492710
"200ng_B2_S29_L002"	4545354428	2180288755	498184611	151686846	48518162	56640066
"200ng_B3_S30_L002"	4399863801	2176533720	495020648	149906265	45958637	53330047
"200ng_U005_S11_L001"	4564976432	2477296000	1027067264	345994158	80568396	383081480
"200ng_U006_S12_L001"	5644199350	3001432774	1246819277	455260654	98318346	463875469
"200ng_U022_S13_L001"	4171104761	2219791272	933495828	307236712	71513077	345787316
"200ng_U023_S14_L001"	6032908009	3233975215	1333396934	455976848	104570259	500275195
"200ng_U024_S15_L001"	5961061029	3160970408	1416136961	472056696	108162712	493401606
"50-ng-UHR_U006_S6_L001"	5392079189	3630160201	1539134526	549601899	101766147	529968094
"50-ng-UHR_U007_S7_L001"	2833705150	1728047467	717642829	260122308	48407644	201574584
"50-ng-UHR_U008_S8_L001"	1733009570	1213025079	519849543	202815916	24740200	179083512
"50-ng-UHR_U009_S9_L001"	2554128878	1510006545	672953223	287736611	36990614	148079653
"50-ng-UHR_U010_S10_L001"	2645373212	1777496713	732830729	569437868	43347288	327314650
"500ng_B4_S31_L002"	4452544276	2229435356	506801663	151251947	46401405	60245863
"500ng_B5_S32_L002"	4725157436	2384891788	551848182	165972974	49425412	54230168
"500ng_B6_S33_L002"	4536214303	2266022505	531819964	171120237	48380497	54403844
"500ng_B7_S34_L002"	4329268962	2189883337	552042858	219580056	50450421	52994668
"500ng_B8_S35_L002"	4570915360	2293254322	514246501	149916630	46493501	51821046
"50ng_A1_S16_L002"	4142831508	1829345405	461836709	177698105	43924715	62246652
"50ng_A2_S17_L002"	4480434670	2169883983	537277730	195049003	51253802	61031850
"50ng_A3_S18_L002"	4624133213	2219076934	533796705	181282366	52865622	63309556
"50ng_A4_S19_L002"	4630982800	2197184971	526834675	180581855	53408499	70135756
"50ng_A5_S20_L002"	4124007410	1961857448	466221037	156975817	46342810	55800754
"50ng_U001_S1_L001"	4437904401	2363326209	975178459	346515932	62077206	369937769
"50ng_U002_S2_L001"	5118189349	2711112381	1190069877	405758396	75838309	429011116
"50ng_U016_S3_L001"	4523224396	2357353204	1045980544	349736679	65846162	371271425
"50ng_U017_S4_L001"	10551995110	5550358513	2432236795	822489541	154416534	872617417
"50ng_U018_S5_L001"	3132086158	1976176591	1456927147	937965327	48444967	366690932
