"Category"	"Uniquely mapped"	"Mapped to multiple loci"	"Mapped to too many loci"	"Unmapped: too short"	"Unmapped: other"
"10-ng-UHR_U001_S1_L001"	23281043	1602864	58185	1203281	5220
"10-ng-UHR_U002_S2_L001"	11005583	846935	29452	572929	2491
"10-ng-UHR_U003_S3_L001"	28038749	1974776	70690	1308035	6274
"10-ng-UHR_U004_S4_L001"	30668516	2325441	78853	1459106	6899
"10-ng-UHR_U005_S5_L001"	34317470	3493674	142960	2283264	8054
"100-ng-UHR_U011_S11_L001"	29527707	1692500	59091	1339008	6516
"100-ng-UHR_U012_S12_L001"	20072704	995527	16976	584184	4327
"100-ng-UHR_U013_S13_L001"	23892093	1150618	19875	633729	5152
"100-ng-UHR_U014_S14_L001"	20886701	1011762	19491	540362	4503
"100-ng-UHR_U015_S15_L001"	20189304	1554345	43216	748292	6762
"100ng_A10_S25_L002"	34005139	1914374	19992	2320224	15315
"100ng_A6_S21_L002"	35258976	1832614	19774	2211479	15740
"100ng_A7_S22_L002"	39111904	2087759	22202	2281999	17420
"100ng_A8_S23_L002"	39246717	2144265	23088	2899793	17736
"100ng_A9_S24_L002"	32699997	1822327	19186	2897672	18719
"100ng_U003_S6_L001"	41866733	2482398	132774	5438518	14982
"100ng_U004_S7_L001"	43704353	2419556	138156	3672104	9992
"100ng_U019_S8_L001"	46098433	2313321	143342	5149544	16109
"100ng_U020_S9_L001"	47199353	2689284	209474	5881382	11203
"100ng_U021_S10_L001"	65198377	4098891	342219	6333977	22784
"200ng_A11_S26_L002"	34059683	2319407	22386	1759959	15271
"200ng_A12_S27_L002"	36671330	1830540	18227	2078359	16237
"200ng_B1_S28_L002"	47163020	2371266	24474	3194346	21120
"200ng_B2_S29_L002"	35235241	1797793	18564	2350468	15775
"200ng_B3_S30_L002"	34490695	1749964	18101	1913775	15280
"200ng_U005_S11_L001"	41891059	2064306	136867	4148398	9659
"200ng_U006_S12_L001"	51135288	2874147	136286	4425394	11723
"200ng_U022_S13_L001"	38004783	1841400	115131	4579654	8910
"200ng_U023_S14_L001"	55038469	2689761	172336	4814454	18806
"200ng_U024_S15_L001"	54644816	2839290	151094	4329731	18583
"50-ng-UHR_U006_S6_L001"	54653629	3478599	98731	2121443	12054
"50-ng-UHR_U007_S7_L001"	27064963	1595928	28595	895867	5913
"50-ng-UHR_U008_S8_L001"	18009051	1161859	39813	793340	3997
"50-ng-UHR_U009_S9_L001"	24269257	1522305	27666	917480	5350
"50-ng-UHR_U010_S10_L001"	26686444	3490786	209336	1553395	6379
"500ng_B4_S31_L002"	35101720	1763035	18733	1976681	15534
"500ng_B5_S32_L002"	37352710	1912270	19520	2409402	16674
"500ng_B6_S33_L002"	35696860	1966315	20182	2409691	16038
"500ng_B7_S34_L002"	34135089	2469962	24171	2049873	15471
"500ng_B8_S35_L002"	35999437	1756243	18368	1857675	15844
"50ng_A1_S16_L002"	31122851	2133996	25075	3069302	18183
"50ng_A2_S17_L002"	34836792	2266827	24852	2148786	15713
"50ng_A3_S18_L002"	35851045	2141353	22611	2169089	16067
"50ng_A4_S19_L002"	35751297	2165181	24369	2490486	16172
"50ng_A5_S20_L002"	31849772	1869066	19728	2296783	14422
"50ng_U001_S1_L001"	40197058	2154130	175086	7138055	9935
"50ng_U002_S2_L001"	46663124	2495190	202003	6554865	11186
"50ng_U016_S3_L001"	40917702	2218003	147172	4391916	9537
"50ng_U017_S4_L001"	95761219	5150236	382997	10458466	22371
"50ng_U018_S5_L001"	35303256	3896205	534547	9209113	14688
