"","p.val","adj.p.val","test.statistic","fold.change","num.genes","num.genes.dn","num.genes.up","percentage.dn","percentage.up"
"KEGG_OXIDATIVE_PHOSPHORYLATION",0,0,2.11101626146287,0.074826506511653,110,33,77,0.3,0.7
"KEGG_RIBOSOME",0,0,4.54925572862461,0.140267110987371,72,8,64,0.111111111111111,0.888888888888889
"KEGG_SPLICEOSOME",0,0,1.29703231373505,0.0364516056155366,116,36,80,0.310344827586207,0.689655172413793
"KEGG_PROTEASOME",0,0,2.14164857468302,0.0643141542338484,41,8,33,0.195121951219512,0.804878048780488
"KEGG_MAPK_SIGNALING_PATHWAY",0,0,-0.725833571975554,-0.05142989172271,184,122,62,0.66304347826087,0.33695652173913
"KEGG_CARDIAC_MUSCLE_CONTRACTION",0,0,1.58484470738688,0.0512373850586804,49,20,29,0.408163265306122,0.591836734693878
"KEGG_ECM_RECEPTOR_INTERACTION",0,0,-1.25892023570156,-0.0654434875425814,58,44,14,0.758620689655172,0.241379310344828
"KEGG_ALZHEIMERS_DISEASE",0,0,1.37772974344149,0.0436791550752642,139,53,86,0.381294964028777,0.618705035971223
"KEGG_PARKINSONS_DISEASE",0,0,2.24207419437215,0.0768786425650807,107,28,79,0.261682242990654,0.738317757009346
"KEGG_HUNTINGTONS_DISEASE",0,0,1.74805951434638,0.0574797262510307,146,46,100,0.315068493150685,0.684931506849315
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",2e-05,0.000291666666666667,1.61935256693852,0.0503826440375238,38,7,31,0.184210526315789,0.815789473684211
"KEGG_MISMATCH_REPAIR",2e-05,0.000291666666666667,2.30365636876219,0.0878108535548446,20,4,16,0.2,0.8
"KEGG_PYRIMIDINE_METABOLISM",6e-05,0.000807692307692308,0.90793277135148,0.0273827163884068,82,23,59,0.280487804878049,0.719512195121951
"KEGG_RNA_POLYMERASE",8e-05,0.001,1.73554749867999,0.0723703435291251,27,4,23,0.148148148148148,0.851851851851852
"KEGG_DNA_REPLICATION",0.00024,0.002625,1.47973054334927,0.0517829068535954,32,7,25,0.21875,0.78125
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.00024,0.002625,1.23135950016547,0.0525130118239676,44,12,32,0.272727272727273,0.727272727272727
"KEGG_FOCAL_ADHESION",0.00032,0.00329411764705882,-0.650079634846573,-0.0405747936838927,149,102,47,0.684563758389262,0.315436241610738
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",0.00042,0.00408333333333333,1.21079460737114,0.0425405278824565,40,12,28,0.3,0.7
"KEGG_GLUTATHIONE_METABOLISM",0.00054,0.00497368421052632,1.23740363546936,0.0513544341189519,37,10,27,0.27027027027027,0.72972972972973
"KEGG_PROPANOATE_METABOLISM",0.00058,0.005075,1.38174676342629,0.0263382721181568,29,6,23,0.206896551724138,0.793103448275862
"KEGG_GAP_JUNCTION",0.00066,0.0055,-0.951166463405283,-0.0551876848458223,60,45,15,0.75,0.25
"KEGG_CITRATE_CYCLE_TCA_CYCLE",0.00102,0.00811363636363636,1.38021602485591,0.0500176698263658,26,7,19,0.269230769230769,0.730769230769231
"KEGG_ONE_CARBON_POOL_BY_FOLATE",0.00118,0.00897826086956522,2.32728524217682,0.0606682133720199,10,3,7,0.3,0.7
"KEGG_PURINE_METABOLISM",0.00126,0.0091875,0.632652519042374,0.0180440676994312,119,49,70,0.411764705882353,0.588235294117647
"KEGG_RNA_DEGRADATION",0.00134,0.00938,0.944023946599827,0.0230482640739767,53,20,33,0.377358490566038,0.622641509433962
