"","p.val","adj.p.val","test.statistic","fold.change","num.genes","num.genes.dn","num.genes.up","percentage.dn","percentage.up"
"KEGG_GLYCEROLIPID_METABOLISM",0,0,1.44009170814763,0.0852039332940011,34,6,28,0.176470588235294,0.823529411764706
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0,0,1.07402011981991,0.0663472905651951,50,16,34,0.32,0.68
"KEGG_RIBOSOME",0,0,0.879496322854872,0.0611760397678902,72,18,54,0.25,0.75
"KEGG_SPLICEOSOME",0,0,-0.737415920090029,-0.0311580661273572,116,76,40,0.655172413793103,0.344827586206897
"KEGG_LYSOSOME",0,0,1.04921244649447,0.0681089911408183,99,27,72,0.272727272727273,0.727272727272727
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",4e-05,0.00116666666666667,1.79010031196093,0.123110042943604,14,1,13,0.0714285714285714,0.928571428571429
"KEGG_OTHER_GLYCAN_DEGRADATION",6e-05,0.0015,1.9252748968854,0.113854434709755,12,0,12,0,1
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.00028,0.006125,1.05122129914123,0.061719136772475,32,8,24,0.25,0.75
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.00046,0.00894444444444444,1.09582270319019,0.0575345541943681,27,8,19,0.296296296296296,0.703703703703704
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.001,0.0175,1.21237296058781,0.0896917939301433,20,6,14,0.3,0.7
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.00128,0.0203636363636364,1.10760535262786,0.0506041423511136,23,5,18,0.217391304347826,0.782608695652174
"KEGG_SPHINGOLIPID_METABOLISM",0.00162,0.023625,0.96234667716906,0.0707105150631558,29,6,23,0.206896551724138,0.793103448275862
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.00182,0.0245,1.17914076370063,0.0760299618135879,18,3,15,0.166666666666667,0.833333333333333
"KEGG_RIBOFLAVIN_METABOLISM",0.00216,0.027,1.36645558880405,0.0889315099664724,13,1,12,0.0769230769230769,0.923076923076923
"KEGG_GLUTATHIONE_METABOLISM",0.00298,0.0347666666666667,0.80140706970864,0.0508559684100286,37,12,25,0.324324324324324,0.675675675675676
"KEGG_BLADDER_CANCER",0.00374,0.04090625,0.770239391596862,0.0398580289838268,38,9,29,0.236842105263158,0.763157894736842
"KEGG_ARACHIDONIC_ACID_METABOLISM",0.00496,0.0510588235294118,0.973457037153055,0.0705127338491203,22,6,16,0.272727272727273,0.727272727272727
"KEGG_VEGF_SIGNALING_PATHWAY",0.0059,0.0573611111111111,0.627896120042569,0.0426544615215387,54,19,35,0.351851851851852,0.648148148148148
"KEGG_GALACTOSE_METABOLISM",0.0065,0.0578333333333333,1.04020399711895,0.0601818198998702,18,4,14,0.222222222222222,0.777777777777778
"KEGG_ETHER_LIPID_METABOLISM",0.00694,0.0578333333333333,1.1005605187666,0.077410513879222,16,4,12,0.25,0.75
"KEGG_HUNTINGTONS_DISEASE",0.00692,0.0578333333333333,0.388926760209238,0.0312665710418958,146,62,84,0.424657534246575,0.575342465753425
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.0077,0.06125,0.70265971761787,0.0448770968681942,39,14,25,0.358974358974359,0.641025641025641
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.00902,0.0686304347826087,0.666481700605161,0.0281828077666457,42,16,26,0.380952380952381,0.619047619047619
"KEGG_OXIDATIVE_PHOSPHORYLATION",0.0103,0.0751041666666667,0.419140649179252,0.0314699599332572,110,44,66,0.4,0.6
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",0.01268,0.08876,1.16875715581603,0.0696406882579591,12,4,8,0.333333333333333,0.666666666666667
"KEGG_PYRUVATE_METABOLISM",0.016,0.107692307692308,0.689211063818246,0.0497065794686868,33,12,21,0.363636363636364,0.636363636363636
"KEGG_ACUTE_MYELOID_LEUKEMIA",0.0183,0.118611111111111,0.544047082900791,0.0356409372578962,52,19,33,0.365384615384615,0.634615384615385
"KEGG_N_GLYCAN_BIOSYNTHESIS",0.02032,0.125155172413793,0.5708734026923,0.0278151329232527,45,18,27,0.4,0.6
"KEGG_PEROXISOME",0.02074,0.125155172413793,0.484170776543113,0.0331025703632374,64,23,41,0.359375,0.640625
"KEGG_CITRATE_CYCLE_TCA_CYCLE",0.02514,0.1257,0.723128612686448,0.0320516966824164,26,9,17,0.346153846153846,0.653846153846154
"KEGG_TYROSINE_METABOLISM",0.02396,0.1257,0.698659073520715,0.0467171539911272,28,8,20,0.285714285714286,0.714285714285714
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.0232,0.1257,1.15933754614423,0.0668394356873819,10,2,8,0.2,0.8
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.02434,0.1257,0.699261059710562,0.0455368346329474,28,8,20,0.285714285714286,0.714285714285714
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.02512,0.1257,0.443701388781557,0.028840428900849,72,29,43,0.402777777777778,0.597222222222222
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.02422,0.1257,0.612858186018811,0.0479274253409922,37,13,24,0.351351351351351,0.648648648648649
"KEGG_VIBRIO_CHOLERAE_INFECTION",0.02638,0.128236111111111,0.573792575450632,0.0348154482162453,41,15,26,0.365853658536585,0.634146341463415
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.02982,0.133807692307692,0.835627894538622,0.0367659029728101,18,7,11,0.388888888888889,0.611111111111111
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.02868,0.133807692307692,0.492069594932435,0.0368842311168167,54,19,35,0.351851851851852,0.648148148148148
"KEGG_ALZHEIMERS_DISEASE",0.02924,0.133807692307692,0.323329239298691,0.026520662706807,139,61,78,0.438848920863309,0.561151079136691
"KEGG_ABC_TRANSPORTERS",0.0329,0.1439375,0.666939084611539,0.0472434867566923,28,9,19,0.321428571428571,0.678571428571429
"KEGG_PYRIMIDINE_METABOLISM",0.03386,0.144524390243902,0.39905102612285,0.031355374331125,82,34,48,0.414634146341463,0.585365853658537
"KEGG_PROTEASOME",0.03574,0.148916666666667,0.541075685453877,0.0387583432715642,41,16,25,0.390243902439024,0.609756097560976
